iter	RMSE
0	22.23964043
1	22.1641322
2	22.10547297
3	22.04236177
4	21.98980217
5	21.94629751
6	21.90113572
7	21.86195027
8	21.82833569
9	21.79676682
10	21.765158
11	21.73252939
12	21.70865538
13	21.6827221
14	21.66431869
15	21.64304823
16	21.62827425
17	21.61056659
18	21.58543973
19	21.56881194
20	21.55067738
21	21.53678016
22	21.52467645
23	21.50498147
24	21.49191855
25	21.47676507
26	21.46159658
27	21.44763632
28	21.43473127
29	21.42065797
30	21.4088172
31	21.39780927
32	21.38457343
33	21.37462198
34	21.36360929
35	21.3530908
36	21.3423428
37	21.33188537
38	21.32067368
39	21.31310576
40	21.2946068
41	21.28128608
42	21.26975581
43	21.26281056
44	21.25504619
45	21.23885466
46	21.23169048
47	21.22181201
48	21.21216384
49	21.20609938
50	21.19936052
51	21.19210665
52	21.1794938
53	21.16699054
54	21.15774451
55	21.14895776
56	21.14033221
57	21.13000292
58	21.11827307
59	21.11121591
60	21.09647615
61	21.08978576
62	21.0805424
63	21.07337535
64	21.06701348
65	21.06160014
66	21.05667365
67	21.04487782
68	21.03968157
69	21.03124134
70	21.0230178
71	21.0160151
72	21.01286428
73	21.00766097
74	21.0002276
75	20.9902201
76	20.9813667
77	20.97295509
78	20.96521595
79	20.95712838
80	20.94889577
81	20.94126341
82	20.93649583
83	20.92806242
84	20.92371654
85	20.91680185
86	20.90898059
87	20.9023251
88	20.89723003
89	20.89196799
90	20.88717281
91	20.88119673
92	20.87334506
93	20.86712833
94	20.86202105
95	20.85506962
96	20.84764692
97	20.83803375
98	20.82895381
99	20.82534523
