iter	Passed	Remaining
0	151	14962
1	159	7815
2	168	5462
3	177	4254
4	186	3540
5	195	3057
6	204	2712
7	213	2459
8	222	2252
9	231	2087
10	242	1960
11	250	1839
12	260	1741
13	270	1660
14	279	1582
15	288	1513
16	297	1454
17	322	1467
18	331	1412
19	341	1366
20	351	1321
21	361	1281
22	369	1237
23	378	1199
24	388	1165
25	398	1134
26	409	1107
27	418	1075
28	428	1048
29	438	1022
30	448	998
31	458	973
32	467	948
33	476	924
34	485	902
35	496	882
36	506	863
37	515	841
38	525	822
39	536	804
40	546	785
41	555	767
42	564	748
43	574	731
44	583	713
45	594	697
46	602	679
47	612	663
48	621	647
49	631	631
50	641	616
51	651	601
52	660	585
53	669	570
54	678	555
55	687	539
56	696	525
57	705	511
58	714	496
59	724	482
60	733	469
61	743	455
62	752	442
63	762	428
64	773	416
65	783	403
66	794	391
67	803	378
68	811	364
69	821	352
70	831	339
71	841	327
72	851	314
73	862	302
74	871	290
75	880	277
76	889	265
77	899	253
78	910	242
79	919	229
80	928	217
81	936	205
82	947	193
83	956	182
84	965	170
85	975	158
86	983	147
87	994	135
88	1003	124
89	1013	112
90	1023	101
91	1034	89
92	1044	78
93	1054	67
94	1064	56
95	1074	44
96	1087	33
97	1097	22
98	1107	11
99	1117	0
